"","partitioning","price","rooms_count","useful_surface","built_surface","bathrooms_count","price_range"
"2225","decomandat",74000,3,71,97,2,"mediu"
"2226","semidecomandat",53000,2,45,50,1,"mic"
"2227","",106128,1,43,61,1,"mediu"
"2229","decomandat",83900,3,81,110,2,"mediu"
"2230","decomandat",36000,1,34,38,1,"mic"
"2231","decomandat",46511,2,50,58,1,"mic"
"2232","semidecomandat",45000,1,32,32,1,"mic"
"2233","decomandat",62300,2,63,72,1,"mic"
"2234","semidecomandat",79000,2,56,63,1,"mediu"
"2236","decomandat",59000,2,56,70,1,"mic"
"2238","decomandat",69900,2,53,64,1,"mediu"
"2239","decomandat",109900,3,71,89,2,"mediu"
"2240","semidecomandat",210000,2,81,105,1,"mare"
"2241","decomandat",146000,3,83,107,2,"mare"
"2242","semidecomandat",140000,4,104,120,2,"mediu"
"2243","decomandat",63650,2,65,75,1,"mic"
"2244","decomandat",55860,2,60,74,1,"mic"
"2245","decomandat",139999,4,127,140,1,"mediu"
"2246","decomandat",82000,2,56,63,1,"mediu"
"2247","decomandat",169000,4,87,133,2,"mare"
"2248","semidecomandat",85550,2,59,71,1,"mediu"
"2249","decomandat",38000,2,34,34,1,"mic"
"2250","semidecomandat",190000,2,63,81,2,"mare"
"2251","semidecomandat",106000,3,63,70,1,"mediu"
"2252","decomandat",750000,5,250,330,4,"mare"
"2253","decomandat",82000,2,56,64,1,"mediu"
"2254","decomandat",133000,3,166,166,2,"mediu"
"2255","decomandat",149000,3,100,130,2,"mare"
"2256","decomandat",45000,1,33,42,1,"mic"
"2257","decomandat",454200,3,182,200,2,"mare"
"2258","",60676,2,36,43,1,"mic"
"2260","",135000,3,79,87,2,"mediu"
"2262","semidecomandat",82836,2,63,79,1,"mediu"
"2263","decomandat",39500,2,46,53,1,"mic"
"2264","decomandat",330000,5,186,214,3,"mare"
"2265","semidecomandat",51489,2,60,68,1,"mic"
"2266","decomandat",84000,2,60,66,1,"mediu"
"2267","semidecomandat",112000,3,64,64,1,"mediu"
"2268","decomandat",83900,3,82,110,2,"mediu"
"2269","decomandat",153000,3,85,114,2,"mare"
"2270","decomandat",241000,4,144,158,3,"mare"
"2272","decomandat",55000,2,41,45,1,"mic"
"2273","semidecomandat",126000,2,43,55,1,"mediu"
"2274","decomandat",89900,3,95,105,2,"mediu"
"2275","decomandat",52900,2,44,50,1,"mic"
"2276","decomandat",194010,3,77,103,2,"mare"
"2277","semidecomandat",64900,1,34,47,1,"mic"
"2278","decomandat",77500,3,75,85,2,"mediu"
"2279","decomandat",68900,2,59,77,1,"mediu"
"2280","semidecomandat",169000,3,78,83,2,"mare"
"2281","decomandat",70952,2,60,75,1,"mediu"
"2282","decomandat",60500,2,55,66,1,"mic"
"2283","semidecomandat",155000,2,57,75,1,"mare"
"2284","decomandat",156500,2,56,70,1,"mare"
"2285","decomandat",148000,3,85,114,2,"mare"
"2286","semidecomandat",187000,3,80,124,2,"mare"
"2287","decomandat",117000,2,58,65,1,"mediu"
"2288","decomandat",175000,4,107,135,2,"mare"
"2289","decomandat",365000,4,151,191,2,"mare"
"2290","semidecomandat",78091,2,61,65,1,"mediu"
"2291","decomandat",119900,3,63,113,2,"mediu"
"2292","decomandat",37600,1,37,57,1,"mic"
"2293","semidecomandat",148000,3,71,85,2,"mare"
"2296","semidecomandat",72500,1,43,58,1,"mediu"
"2297","decomandat",70040,1,44,55,1,"mediu"
"2298","decomandat",470000,4,159,159,2,"mare"
"2300","semidecomandat",330000,5,186,214,3,"mare"
"2301","decomandat",450300,5,251,288,3,"mare"
"2302","semidecomandat",83282,2,65,77,1,"mediu"
"2303","decomandat",95000,2,54,71,1,"mediu"
"2304","decomandat",53525,2,55,65,1,"mic"
"2305","decomandat",82797,2,51,75,2,"mediu"
"2306","decomandat",111500,3,81,97,2,"mediu"
"2307","decomandat",285000,3,98,108,2,"mare"
"2308","semidecomandat",149000,4,82,95,2,"mare"
"2309","decomandat",87628,2,58,65,1,"mediu"
"2310","decomandat",94900,3,75,110,2,"mediu"
"2311","decomandat",193000,5,112,120,1,"mare"
"2312","semidecomandat",98000,2,54,65,1,"mediu"
"2313","decomandat",95000,2,54,70,1,"mediu"
"2314","decomandat",67520,3,80,92,2,"mediu"
"2315","decomandat",53000,2,60,75,1,"mic"
"2316","decomandat",676620,4,265,635,3,"mare"
"2318","semidecomandat",71651,2,60,76,1,"mediu"
"2319","decomandat",139900,3,70,85,2,"mediu"
"2320","semidecomandat",58300,2,42,51,1,"mic"
"2321","decomandat",515000,4,122,147,2,"mare"
"2322","decomandat",185000,3,125,145,2,"mare"
"2323","vagon",87900,3,93,107,2,"mediu"
"2325","decomandat",175000,3,82,95,2,"mare"
"2326","semidecomandat",97500,2,48,57,1,"mediu"
"2327","decomandat",163500,3,81,115,2,"mare"
